Date,Symbol,Close,High,Low,Open,Volume,holiday,pre_holiday,post_holiday,Return,weekend
2020-10-14,GOOGL,77.70596313476562,78.72037945492295,76.83419259220712,78.26064278428443,33174000.0,0,0,0,-0.002316547854898654,0
2020-10-15,GOOGL,77.30984497070312,78.10159771852481,76.59712416174149,76.76461484111238,31210000.0,0,0,0,-0.005097654646857852,0
2020-10-16,GOOGL,77.91770935058594,78.41522155105741,77.41870311948242,77.6259562621858,34194000.0,0,1,0,0.007862703386782854,0
2020-10-17,GOOGL,,,,,,1,1,0,,1
2020-10-18,GOOGL,,,,,,1,0,1,,1
2020-10-19,GOOGL,76.04145050048828,78.72436525341296,75.6920521287433,78.32674837441711,29734000.0,0,0,1,-0.02408000524830045,0
2020-10-20,GOOGL,77.0916519165039,78.22286805695798,75.57176792956199,75.70149072442969,41670000.0,0,0,0,0.01381090719736977,0
2020-10-21,GOOGL,78.82675170898438,80.27556699921308,77.88987319853932,78.02456346725268,60322000.0,0,0,0,0.02250697383368716,0
2020-10-22,GOOGL,79.85408020019531,80.19006260272084,78.40377866156126,78.7775365222372,30512000.0,0,0,0,0.013032739126479065,0
2020-10-23,GOOGL,81.1622543334961,81.21891374121289,80.11502982344743,80.27109915170388,30548000.0,0,1,0,0.016382057498141256,0
2020-10-24,GOOGL,,,,,,1,1,0,,1
2020-10-25,GOOGL,,,,,,1,0,1,,1
2020-10-26,GOOGL,78.74225616455078,80.99325202151856,77.92167697056969,80.26860172055657,35826000.0,0,0,1,-0.029816793395135766,0
2020-10-27,GOOGL,79.4674072265625,79.62247545970848,78.37943448774232,78.97287554235537,25902000.0,0,0,0,0.009209173032791229,0
2020-10-28,GOOGL,75.08966827392578,77.22734549361562,74.97436247888493,77.03848333800511,45174000.0,0,0,0,-0.055088483510676745,0
2020-10-29,GOOGL,77.37992095947266,78.96341872929054,75.37544031536734,75.39879875984231,55406000.0,0,0,0,0.03050023709243299,0
2020-10-30,GOOGL,80.32376861572266,83.56483656005452,79.60110528578043,82.8749736467606,99878000.0,0,1,0,0.03804407680633104,0
2020-10-31,GOOGL,,,,,,1,1,0,,1
2020-11-01,GOOGL,,,,,,1,0,1,,1
2020-11-02,GOOGL,80.7318344116211,82.4177228623583,80.23083360664691,80.69306545391491,44228000.0,0,0,1,0.005080262080962239,0
2020-11-03,GOOGL,81.79244995117188,82.45547331010107,80.1249528393865,81.0518962771345,31432000.0,0,0,0,0.013137513191427086,0
2020-11-04,GOOGL,86.77210235595703,87.97389444504971,84.64237321504866,84.77060198741863,71342000.0,0,0,0,0.06088156556941238,0
2020-11-05,GOOGL,87.59964752197266,89.05691143890962,86.53254555740017,87.9947769368959,39758000.0,0,0,0,0.009536995688094185,0
2020-11-06,GOOGL,87.46196746826172,87.89785278158688,86.3163342135212,87.04496609456561,28622000.0,0,1,0,-0.0015716964349246076,0
2020-11-07,GOOGL,,,,,,1,1,0,,1
2020-11-08,GOOGL,,,,,,1,0,1,,1
2020-11-09,GOOGL,87.54595947265625,90.3029236573716,87.35361630884837,89.26366234310566,53440000.0,0,0,1,0.0009603260345705245,0
2020-11-10,GOOGL,86.36802673339844,87.4445705616141,85.29446338242133,85.97289735781204,43022000.0,0,0,0,-0.01345502118376718,0
2020-11-11,GOOGL,86.84069061279297,87.6195127947876,86.63342990221854,86.89883646035322,31838000.0,0,0,0,0.00547267197447443,0
2020-11-12,GOOGL,86.62149810791016,87.72289434177947,86.38044349520781,86.58074216993116,26474000.0,0,0,0,-0.002524076021690691,0
2020-11-13,GOOGL,88.084716796875,88.32676488559935,86.28153589176617,86.87895086047061,29744000.0,0,1,0,0.016892096314727878,0
2020-11-14,GOOGL,,,,,,1,1,0,,1
2020-11-15,GOOGL,,,,,,1,0,1,,1
2020-11-16,GOOGL,88.17269897460938,89.18214790375693,87.54148245352901,87.68114776395682,25468000.0,0,0,1,0.0009988359040451478,0
2020-11-17,GOOGL,87.5578842163086,88.32727199763137,87.45003341652357,87.86603369221503,21314000.0,0,0,0,-0.006972847212920463,0
2020-11-18,GOOGL,86.51314544677734,87.72388649162679,86.41026211105688,87.30837917941595,20108000.0,0,0,0,-0.011931978243675423,0
2020-11-19,GOOGL,87.40430450439453,87.64884013977176,85.98531678397347,86.14485952561319,20106000.0,0,0,0,0.010300851425699475,0
2020-11-20,GOOGL,86.30142211914062,87.89088858732984,86.2328332252446,87.57478357997911,27694000.0,0,1,0,-0.012618170140561658,0
2020-11-21,GOOGL,,,,,,1,1,0,,1
2020-11-22,GOOGL,,,,,,1,0,1,,1
2020-11-23,GOOGL,85.86305236816406,86.77905996083152,84.99923725500729,86.49228192825137,22530000.0,0,0,1,-0.0050795194356285656,0
2020-11-24,GOOGL,87.66921997070312,87.79744874538184,85.52358732915306,85.86007031205733,27984000.0,0,0,0,0.021035446012268144,0
2020-11-25,GOOGL,87.68064880371094,87.99128581598679,86.89685155716043,87.86355757964036,19600000.0,0,1,0,0.0001303631195945787,0
2020-11-26,GOOGL,,,,,,1,0,0,,0
2020-11-27,GOOGL,88.81832122802734,89.31484746381066,87.7010215428724,87.7010215428724,14790000.0,0,1,1,0.012975182549838316,0
2020-11-28,GOOGL,,,,,,1,1,0,,1
2020-11-29,GOOGL,,,,,,1,0,1,,1
2020-11-30,GOOGL,87.19705200195312,88.48631692913746,86.87100448577954,88.25321783030253,32418000.0,0,0,1,-0.01825377020932273,0
2020-12-01,GOOGL,89.23284149169922,90.5429849598302,87.62597748505007,87.80639874029217,37350000.0,0,0,0,0.02334699904419346,0
2020-12-02,GOOGL,90.70450592041016,91.0906938258756,88.72637171621022,89.23283286296189,29424000.0,0,0,0,0.01649240799810059,0
2020-12-03,GOOGL,90.5489501953125,91.64189039742604,90.30838853043117,90.48433527145409,24728000.0,0,0,0,-0.0017149724097956787,0
2020-12-04,GOOGL,90.64437866210938,90.92966265198878,90.1389033926979,90.46843192086999,20544000.0,0,1,0,0.0010538881631541042,0
2020-12-05,GOOGL,,,,,,1,1,0,,1
2020-12-06,GOOGL,,,,,,1,0,1,,1
2020-12-07,GOOGL,90.30989074707031,90.91923531958732,89.61455978099539,90.23632680126754,22288000.0,0,0,1,-0.0036901120618402228,0
2020-12-08,GOOGL,90.02658081054688,90.25719997504893,89.0300624246609,89.88692308045691,19936000.0,0,0,0,-0.0031370864717010782,0
2020-12-09,GOOGL,88.36305236816406,90.87350135813091,87.57478065285379,89.97836475211025,31728000.0,0,0,0,-0.01847819196736533,0
2020-12-10,GOOGL,87.85559844970703,88.2204073263684,86.15976766781456,87.60460132724097,28688000.0,0,0,0,-0.0057428292126298075,0
2020-12-11,GOOGL,88.2109603881836,88.3357157190994,87.11453925133496,87.47537413824337,18628000.0,0,1,0,0.004044841134170696,0
2020-12-12,GOOGL,,,,,,1,1,0,,1
2020-12-13,GOOGL,,,,,,1,0,1,,1
2020-12-14,GOOGL,87.09068298339844,88.9564919183181,86.93511421848308,88.00818452775862,33050000.0,0,0,1,-0.012699979683422957,0
2020-12-15,GOOGL,87.529052734375,87.67417844887801,86.56434137811691,87.46841178469032,21352000.0,0,0,0,0.005033486200356485,0
2020-12-16,GOOGL,87.33572387695312,87.92817149846697,86.93165304560277,87.92817149846697,24676000.0,0,0,0,-0.0022087392857840227,0
2020-12-17,GOOGL,86.50668334960938,87.80887876729494,86.04147867230672,87.67070749496848,34880000.0,0,0,0,-0.009492570629079378,0
2020-12-18,GOOGL,85.79644775390625,86.89685053812563,85.23879516890149,86.78800624252257,85256000.0,0,1,0,-0.00821018178251931,0
2020-12-19,GOOGL,,,,,,1,1,0,,1
2020-12-20,GOOGL,,,,,,1,0,1,,1
2020-12-21,GOOGL,86.2109603881836,86.33223471277942,84.19505060654919,84.94704090919593,33974000.0,0,0,1,0.004831349608626079,0
2020-12-22,GOOGL,85.49824523925781,86.11405128859225,84.78054933570338,85.95102752184029,20370000.0,0,0,0,-0.008267106012003866,0
2020-12-23,GOOGL,85.89635467529297,86.68561995001107,85.5469486953676,85.68264004353622,22974000.0,0,0,0,0.004656346278465673,0
2020-12-24,GOOGL,86.19107818603516,86.60111749220657,85.70350097566532,85.93461307391874,9312000.0,0,1,0,0.00343115271720551,0
2020-12-25,GOOGL,,,,,,1,1,0,,0
2020-12-26,GOOGL,,,,,,1,1,1,,1
2020-12-27,GOOGL,,,,,,1,0,1,,1
2020-12-28,GOOGL,88.1692123413086,88.81732577545966,86.57179803898693,86.72537223294613,27650000.0,0,0,1,0.022950567470612526,0
2020-12-29,GOOGL,87.36404418945312,88.8903896721319,87.23233440962652,88.82876281252052,19726000.0,0,0,0,-0.009132078312536263,0
2020-12-30,GOOGL,86.29496002197266,87.86106803234938,85.88492069199823,87.72389024551863,21026000.0,0,0,0,-0.012237118569764283,0
2020-12-31,GOOGL,87.10958099365234,87.35112857477672,86.2870072011408,86.34566117264522,21070000.0,0,1,0,0.009439960010089399,0
2021-01-01,GOOGL,,,,,,1,1,0,,0
2021-01-02,GOOGL,,,,,,1,1,1,,1
2021-01-03,GOOGL,,,,,,1,0,1,,1
2021-01-04,GOOGL,85.79197692871094,87.59913191276897,84.84813645318982,87.4753776530922,37324000.0,0,0,1,-0.015125822554896917,0
2021-01-05,GOOGL,86.48382568359375,86.82080159667439,85.33322505728125,85.74028389100147,20360000.0,0,0,0,0.0080642593824094,0
2021-01-06,GOOGL,85.63044738769531,86.67866532532295,84.29943296719883,84.50619315150125,46588000.0,0,0,0,-0.009867490124923162,0
2021-01-07,GOOGL,88.18810272216797,88.36106138992695,85.8232800992059,85.8232800992059,41936000.0,0,0,0,0.029868527054317084,0
2021-01-08,GOOGL,89.35560607910156,89.4316499567786,87.53601343092207,88.32826671520765,35484000.0,0,1,0,0.013238785288439026,0
2021-01-09,GOOGL,,,,,,1,1,0,,1
